  abandonar abandono abandona abandonas abandonamos abandonan
  abanicar abanico abanica abanicas abanicamos abanican 
  abarajar abarajo abaraja abarajas abarajamos abarajan 
  abaratar abarato abarata abaratas abaratamos abaratan 
  abarcar abarco abarca abarcas abarcamos abarcan 
  abarrotar abarroto abarrota abarrotas abarrotamos abarrotan 
  abastecer abastezco abastece abasteces abastecemos abastecen  
  abatir abato abate abates abatimos abaten 
  abdicar abdico abdica abdicas abdicamos abdican 
  abducir abduzco abduce abduces abducimos abducen 
  ablandar ablando ablanda ablandas ablandamos ablandan 
  abalanzar abalanzo abalanza abalanzas abalanzamos abalanzan 
  abnegar abniego abniega abniegas abnegamos abniegan 
  abofetear abofeteo abofetea abofeteas abofeteamos abofetean 
  abolir abolo abole aboles abolimos abolen 
  abonar abono abona abonas abonamos abonan 
  aborrecer aborrezco aborrece aborreces aborrecemos aborrecen 
  abortar aborto aborta abortas abortamos abortan 
  abrasar abraso abrasa abrasas abrasamos abrasan 
  abotonar abotono abotona abotonas abotonamos abotonan 
  abrazar abrazo abraza abrazas abrazamos abrazan 
  abreviar abrevio abrevia abrevias abreviamos abrevian 
  abrigar abrigo abriga abrigas abrigamos abrigan 
  abrillantar abrillanto abrillanta abrillantas abrillantamos abrillantan 
  abrir abro abre abres abrimos abren 
  abrumar abrumo abruma abrumas abrumamos abruman 
  absolver absuelvo absuelve absuelves absolvemos absuelven 
  absorber absorbo absorbe absorbes absorbemos absorben 
  abstenerse abstengo abstiene abstienes abstenemos abstienen 
  abundar abundo abunda abundas abundamos abundan 
  aburrir aburro aburre aburres aburrimos aburren 
  abusar abuso abusa abusas abusamos abusan 
  acabar acabo acaba acabas acabamos acaban 
  acaecer acaezco acaece acaeces acaecemos acaecen 
  acallar acallo acalla acallas acallamos acallan 
  acaparar acaparo acapara acaparas acaparamos acaparan 
  acariciar acaricio acaricia acaricias acariciamos acarician 
  acarrear acarreo acarrea acarreas acarreamos acarrean 
  acceder accedo accede accedes accedemos acceden 
  accionar acciono acciona accionas accionamos accionan 
  acechar acecho acecha acechas acechamos acechan 
  aceitar aceito aceita aceitas aceitamos aceitan 
  acelerar acelero acelera aceleras aceleramos aceleran 
  aceptar acepto acepta aceptas aceptamos aceptan 
  acertar acierto acierta aciertas acertamos aciertan 
  achacar achaco achaca achacas achacamos achacan 
  achicar achico achica achicas achicamos achican 
  acicalar acicalo acicala acicalas acicalamos acicalan 
  aclimatar  aclimato aclimata aclimatas aclimatamos aclimatan 
  acoger acojo acoge acoges acogemos acogen 
  acometer acometo acomete acometes acometemos acometen 
  acompañar acompaño acompaña acompañas acompañamos acompañan 
  acomplejar acomplejo acompleja acomplejas acomplejamos acomplejan 
  aconsejar aconsejo aconseja aconsejas aconsejamos aconsejan 
  acontecer acontezco acontece aconteces acontecemos acontecen 
  acordar acuerdo acuerda acuerdas acordamos acuerdan 
  acostar acuesto acuesta acuestas acostamos acuestan 
  acotar acoto acota acotas acotamos acotan 
  acribillar acribillo acribilla acribillas acribillamos acribillan 
  activar activo activa activas activamos activan 
  actualizar actualizo actualiza actualizamos actualizan 
  actuar actúo actúa actúas actuamos actúan 
  acuchillar acuchillo acuchilla acuchillas acuchillamos acuchillan 
  acudir acudo acude acudes acudimos acuden 
  acumular acumulo acumula acumulas acumulamos acumulan 
  acunar acuno acuna acunas acunamos acunan 
  acuñar  acuño acuña acuñas acuñamos acuñan 
  acurrucar acurruco acurruca acurrucas acurrucamos acurrucan 
  acusar acuso acusa acusas acusamos acusan 
  adecuar adecúo adecúa adecúas adecuamos adecúan 
  adelgazar adelgazo adelgaza adelgazas adelgazamos adelgazan 
  adherir adhiero adhiere adhieres adherimos adhieren 
  adiestrar adiestro adiestra adiestras adiestramos adiestran 
  adivinar adivino adivina adivinas adivinamos adivinan 
  adjudicar adjudico adjudica adjudicas adjudicamos adjudican 
  administrar administro administra administras administramos administran 
  admirar admiro admira admiras admiramos admiran 
  adoctrinar adoctrino adoctrina adoctrinas adoctrinamos adoctrinan 
  adornar adorno adorna adornas adornamos adornan 
  adular adulo adula adulas adulamos adulan 
  advertir advierto advierte adviertes advertimos advierten 
  afear afeo afea afeas afeamos afean 
  afeitar afeito afeita afeitas afeitamos afeitan 
  afilar afilo afila afilas afilamos afilan 
  afinar afino afina afinas afinamos afinan 
  afirmar afirmo afirma afirmas afirmamos afirman 
  agarrar agarro agarra agarras agarramos agarran 
  agilizar agilizo agiliza agilizas agilizamos agilizan 
  agobiar agobio agobia agobias agobiamos agobian 
  agotar agoto agota agotas agotamos agotan 
  agradar agrado agrada agradas agradamos agradan 
  agradecer agradezco agradece agradeces agradecemos agradecen 
  agredir agredo agrede agredes agredimos agreden 
  agregar agrego agrega agregas agregamos agregan 
  agrupar agrupo agrupa agrupas agrupamos agrupan 
  aguantar aguanto aguanta aguantas aguantamos aguantan 
  aguar aguo agua aguas aguamos aguan 
  aguardar  aguardo aguarda aguardas aguardamos aguardan 
  agujerear  agujereo agujerea agujereas agujereamos agujerean 
  ahogar ahogo ahoga ahogas ahogamos ahogan 
  ahorrar ahorro ahorra ahorras ahorramos ahorran 
  ahumar  ahúmo ahúma ahúmas ahumamos ahúman 
  ajustar ajusto ajusta ajustas ajustamos ajustan     
  alabar alabo alaba alabas alabamos alaban 
  alagar alago alaga alagas alagamos alagan 
  alcanzar alcanzo alcanza alcanzas alcanzamos alcanzan 
  alejar alejo aleja alejas alejamos alejan 
  aletear aleteo aletea aleteas aleteamos aletean 
  alimentar alimento alimenta alimentas alimentamos alimentan 
  alinear alineo alinea alineas alineamos alinean 
  alisar aliso alisa alisas alisamos alisan 
  alistar alisto alista alistas alistamos alistan 
  aliviar alivio alivia alivias aliviamos alivian 
  almacenar almaceno almacena almacenas almacenamos almacenan 
  almorzar almuerzo almuerza almuerzas almorzamos almuerzan 
  alojar alojo aloja alojas alojamos alojan 
  alquilar alquilo alquila alquilas alquilamos alquilan 
  alterar altero altera alteras alteramos alteran 
 alucinar alucino alucina alucinas alucinamos alucinan 
  alumbrar alumbro alumbra alumbras alumbramos alumbran 
 alunizar alunizo aluniza alunizas alunizamos alunizan 
 alzar alzo alza alzas alzamos alzan 
 amamantar amamanto amamanta amamantas amamantamos amamantan 
 amanecer amanezco amanece amaneces amanecemos amanecen 
 amansar amanso amansa amansas amansamos amansan 
 amañar amaño amaña amañas amañamos amañan 
 amar amo ama amas amamos aman 
 amargar amago amaga amagas amagamos amagan 
 amarrar amarro amarra amarras amarramos amarran  
 amasar amaso amasa amasas amasamos amasan 
 amolar amuelo amuelas amuela amolamos amuelan 
 amontonar amontono amontona amontonas amontonamos amontonan 
 ampliar amplío amplía amplías ampliamos amplían 
 amplificar amplifico amplifica amplificas amplificamos amplifican 
 amputar amputo amputa amputas amputamos amputan 
 analizar analizo analiza analizas analizamos analizan 
 andar ando anda andas andamos andan 
 animar animo anima animas animamos animan 
 anhelar anhelo anhela anhelas anhelamos anhelan 
 ansiar ansío ansía ansías ansiamos ansían 
 anticipar anticipo anticipa anticipas anticipamos anticipan  
 antojar antojo antoja antojas antojamos antojan 
 anular anulo anula anulas anulamos anulan 
 anunciar anuncio anuncia anuncias anunciamos anuncian 
 añadir añado añade añades añadimos añaden 
 apagar apago apaga apagas apagamos apagan 
 aparcar aparco aparca aparcas aparcamos aparcan 
 aparear apareo aparea apareas apareamos aparean 
 aparecer aparezco aparece apareces aparecemos aparecen 
 aparentar aparento aparenta aparentas aparentamos aparentan 
 apartar aparto aparta apartas apartamos apartan 
 apestar apesto apesta apestas apestamos apestan 
 aplastar aplasto aplasta aplastas aplastamos aplastan 
 aplaudir aplaudo aplaude aplaudes aplaudimos aplauden 
 aplicar aplico aplica aplicas aplicamos aplican 
 aporrear aporreo aporrea aporreas aporreamos aporrean 
 apoyar apoyo apoya apoyas apoyamos apoyan 
 apreciar aprecio aprecia aprecias apreciamos aprecian 
 aprender aprendo aprende aprendes aprendemos aprenden 
 apretar aprieto aprieta aprietas apretamos aprietan 
 aprobar apruebo aprueba apruebas aprobamos aprueban 
 aprovechar aprovecho aprovecha aprovechas aprovechamos aprovechan 
 apuntar apunto apunta apuntas apuntamos apuntan 
 apurar apuro apura apuras apuramos apuran 
 apuñalar apuñalo apuñala apuñalamos apuñalan 
 arañar araño araña arañas arañamos arañan 
 arar aro ara aras aramos aran 
 arder ardo arde ardes ardemos arden 
 argumentar argumento argumenta argumentas argumentamos argumentan 
 armar armo arma armas armamos arman 
 arrancar arranco arranca arrancas arrancamos arrancan 
 arrastrar arrastro arrastra arrastras arrastramos arrastran 
 arrojar arrojo arroja arrojas arrojamos arrojan 
 arrollar arrollo arrolla arrollas arrollamos arrollan 
 asar aso asa asas asamos asan 
 asear aseo asea aseas aseamos asean 
 asegurar aseguro asegura aseguras aseguramos aseguran 
 asfixiar asfixio asfixia asfixias asfixiamos asfixian 
 asolar asuelo asuelas asuela asolamos asuelan 
 atrapar atrapo atrapa atrapas atrapamos atrapan 
 atreverse atrevo atreve atreves atrevemos atreven 
 atropellar atropello atropella atropellas atropellamos atropellan 
 aullar aúllo aúlla aúllas aullamos aúllan 
 aumentar aumento aumenta aumentas aumentamos aumentan 
 auxiliar auxilio auxilia auxilias auxiliamos auxilian 
 avanzar avanzo avanza avanzas avanzamos avanzan 
 averiguar averiguo averigua averiguas averiguamos averiguan 
 avisar aviso avisa avisas avisamos avisan 
 ayudar ayudo ayuda ayudas ayudamos ayudan 
 azotar azoto azota azotas azotamos azotan 
 bailar bailo baila bailas bailamos bailan 
 bajar bajo baja bajas bajamos bajan 
 balar balo bala balas balamos balan 
 bañarse baño baña bañas bañamos bañan 
 barrer barro barre barres barremos barren 
 batir bato bate bates batimos baten 
 beber bebo bebe bebes bebemos beben 
 bendecir bendigo bendice bendices bendecimos bendicen 
 besar beso besa besas besamos besan 
 bloquear bloqueo bloquea bloqueas bloqueamos bloquean 
 borrar borro borra borras borramos borran 
 botar boto bota botas botamos botan 
 brillar brillo brilla brillas brillamos brillan 
 brincar brinco brinca brincas brincamos brincan 
 bucear buceo bucea buceas buceamos bucean 
 buscar busco busca buscas buscamos buscan 
 caber quepo cabe cabes cabemos caben 
 caer caigo cae caes caemos caen 
 cagar cago caga cagas cagamos cagan 
 calcular calculo calcula calculas calculamos calculan 
 calentar caliento calienta calientas calentamos calientan 
 calificar califico califica calificas calificamos califican 
 callar callo calla callas callamos callan 
 calmar calmo calma calmas calmamos calman 
 cambiar cambio cambia cambias cambiamos cambian 
 caminar camino camina caminas caminamos caminan 
 cancelar cancelo cancela cancelas cancelamos cancelan 
 canjear canjeo canjea canjeas canjeamos canjean 
 cansarse canso cansa cansas cansamos cansan 
 cantar canto canta cantas cantamos cantan 
 cargar cargo carga cargas cargamos cargan 
 casar caso casa casas casamos casan 
 castigar castigo castiga castigas castigamos castigan 
 cavar cavo cava cavas cavamos cavan 
 celebrar celebro celebra celebras celebramos 
 cenar ceno cena cenas cenamos cenan 
 censurar censuro censura censuras censuramos censuran 
 centrar centro centra centras centramos centran 
 cepillar cepillo cepilla cepillas cepillamos cepillan 
 cerrar cierro cierra cierras cerramos cierran 
 chillar chillo chilla chillas chillamos chillan 
 chupar chupo chupa chupas chupamos chupan 
 circular circulo circula circulas circulamos circulan 
 clavar clavo clava clavas clavamos clavan 
 clonar clono clona clonas clonamos clonan 
 cobrar cobro cobra cobras cobramos cobran 
 cocinar cocino cocina cocinas cocinamos cocinan 
 coger cojo coge coges cogemos cogen 
 cojear cojeo cojea cojeas cojeamos cojean 
 colar cuelo cuela cuelas colamos cuelan 
 colgar cuelgo cuelga cuelgas colgamos cuelgan 
 colocar coloco coloca colocas colocamos colocan 
 comentar comento comenta comentas comentamos comentan 
 comenzar comienzo comienza comienzas comenzamos comienzan 
 comer como come comes comemos comen 
 comparar comparo compara comparas comparamos comparan 
 compartir comparto comparte compartes compartimos comparten 
 competir compito compite compites competimos compiten 
 compilar compilo compila compilas compilamos compilan 
 complacer complazco complace complaces complacemos complacen  
 comprar compro compra compras compramos compran 
 comunicar comunico comunica comunicas comunicamos comunican 
 conceder concedo concede concedes concedemos conceden 
 conducir conduzco conduce conduces conducimos conducen 
 conectar conecto conecta conectas conectamos conectan 
 conformar conformo conforma conformas conformamos conforman 
 confundir confundo confunde confundes confundimos confunden 
 congelar congelo congela congelas congelamos congelan 
 conjugar conjugo conjuga conjugas conjugamos conjugan 
 conocer conozco conoce conoces conocemos conocen 
 consolar consuelo consuela consuelas consolamos consuelan 
 construir construyo construye construyes construimos construyen 
 consumir consumo consume consumes consumimos consumen 
 contar cuento cuenta cuentas contamos cuentan 
 continuar continúo continúa continúas continuamos continúan 
 controlar controlo controla controlas controlamos controlan 
 conversar converso conversa conversas conversamos conversan 
 convertir convierto convierte conviertes convertimos convierten 
 copiar copio copia copias copiamos copian 
 corregir corrijo corrige corriges corregimos corrigen 
 correr corro corre corres corremos corren 
 cortar corto corta cortas cortamos cortan 
 coser coso cose coses cosemos cosen  
 crear creo crea creas creamos crean 
 crecer crezco crece creces crecemos crecen 
 creer creo cree crees creemos creen 
 cremar cremo crema cremas cremamos creman 
 criar crio cría crías criamos crían 
 criticar critico critica criticas criticamos critican 
 crujir crujo cruje crujes crujimos crujen 
 cruzar cruzo cruza cruzas cruzamos cruzan 
 cubrir cubro cubre cubres cubrimos cubren 
 cuidar cuido cuida cuidas cuidamos cuidan 
 cultivar cultivo cultiva cultivas cultivamos cultivan 
 cumplir cumplo cumple cumples cumplimos cumplen 
 danzar danzo danza danzas danzamos danzan 
 dañar daño daña dañas dañamos dañan 
 dar doy da das damos dan 
 deber debo debe debes debemos deben 
 decidir decido decide decidimos deciden 
 decir digo dice dices decimos dicen 
 definir defino define defines definimos definen 
 demorar demoro demora demoras demoramos demoran 
 derivar derivo deriva derivas derivamos derivan 
 desafiar desafío desafía desafías desafiamos desafían 
 desayunar desayuno desayuna desayunas desayunamos desayunan 
 descansar descanso descansa descansas descansamos descansan 
 descargar descargo descarga descargas descargamos descargan 
 descartar descarto descarta descartas descartamos descartan 
 desconfiar desconfío desconfía desconfías desconfiamos desconfían 
 describir describo describe describes describimos describen 
 descubrir descubro descubre descubres descubrimos descubren 
 desear deseo desea deseas deseamos desean 
 deshacer deshago deshace deshaces deshacemos deshacen 
 desinstalar desinstalo desinstala desinstalas desinstalamos 
 desinstalan 
 desobedecer desobedezca desobedece desobedeces desobedecemos desobedecen
 despedir despido despide despides despedimos despiden 
 despegar despego despega despegado despegamos despegan 
 despertar despierto despierta despiertas despertamos despiertan 
 destapar destapo destapa destapada destapamos destapan 
 destrozar destrozó destroza destrozas destrozamos destrozan 
 destruir destruyo destruye destruyes destruimos destruyen 
 devolver devuelvo devuelve devuelves devolvemos devuelven 
 discutir discuto discute discutes discutimos discuten 
 disfrutar disfruto disfruta disfrutas disfrutamos disfrutan 
 disparar disparo dispara disparas disparamos disparan 
 doblar doblo dobla doblas doblamos doblan 
 doler duele duele duele duele duele 
 dormir duermo duerme duermes dormimos duermen 
 ducharse ducho ducha duchas duchamos duchan 
 editar edito edita editas editamos editan 
 elegir elijo elige eliges elegimos eligen 
 empezar empiezo empieza empiezas empezamos empiezan 
 empujar empujo empuja empujas empujamos empujan 
 enamorarse enamoro enamora enamoras enamoramos enamoran 
 encender enciendo enciende enciendes encendemos encienden 
 encontrar encuentro encuentra encuentras encontramos encuentran 
 enfermar enfermo enferma enfermas enfermamos enferman 
 enseñar enseño enseña enseñas enseñamos enseñan 
 entrar entro entra entras entramos entran 
 entrenar entreno entrena entrenas entrenamos entrenan 
 enviar envío envía envías enviamos envían 
 escapar escapo escapa escapas escapamos escapan 
 escoger escojo escoge escoges escogemos escogen 
 esconder escondo esconde escondes escondemos esconden 
 escribir escribo escribe escribes escribimos escriben 
 escuchar escucho escucha escuchas escuchamos escuchan 
 estar estoy está estás estamos están 
 estudiar estudio estudia estudias estudiamos estudian 
 existir existo existe existes existimos existen 
 fallar fallo falla fallas fallamos fallan 
 faltar falto falta faltas faltamos faltan 
 fumar fumo fuma fumas fumamos fuman 
 funcionar funciono funciona funcionas funcionamos funcionan 
 ganar gano gana ganas ganamos ganan 
 gastar gasto gasta gastas gastan gastamos 
 girar giro gira giras giramos giran 
 gozar gozo goza gozas gozamos gozan 
 grabar grabo graba grabas grabamos graban 
 gritar grito grita gritas gritamos gritan 
 guardar guardo guarda guardas guardamos guardan 
 guiar guío guía guías guiamos guían 
 haber he ha has hemos han 
 hablar hablo habla hablas hablamos hablan 
 hacer hago hace haces hacemos hacen 
 hallar hallo halla hallas hallamos hallan 
 huir huyo huye huyes huimos huyen 
 ignorar ignoro ignora ignoras ignoramos ignoran 
 imaginar imagino imagina imaginas imaginamos imaginan 
 imprimir imprimo imprime imprimes imprimimos imprimen 
 improvisar improviso improvisa improvisas improvisamos improvisan 
 inclinar inclino inclina inclinas inclinamos inclinan 
 incluir incluyo incluye incluyes incluimos incluyen 
 inflar inflo infla inflado inflamos inflan 
 ingerir ingiero ingiere ingieres ingerimos ingieren 
 iniciar inicio inicia inicias iniciamos inician 
 insertar inserto inserta insertas insertamos insertan 
 ir voy va vas vamos van 
 jalar jalo jala jalas jalamos jalan 
 jugar juego juega juegas jugamos juegan 
 jurar juro jura juras juramos juran 
 juzgar juzgo juzga juzgas juzgamos juzgan 
 ladrar ladro ladra ladras ladramos ladran 
 lamer lamo lame lames lamemos lamen 
 lanzar lanzo lanza lanzas lanzamos lanzan 
 leer leo lee lees leemos leen 
 levantarse levanto levanta levantas levantamos levantan 
 llamar llamo llama llamas llamamos llaman 
 llegar llego llega llegas llegan llegamos 
 llenar lleno llena llenas llenamos llenan 
 llevar llevo lleva llevas llevamos llevan 
 llorar lloro llora lloras lloramos lloran 
 llover lluevo llueve llueves llovemos llueven 
 mamar mamo mama mamas mamamos maman  
 marcar marco marca marcas marcamos marcan 
 matar mato mata matas matamos matan 
 maullar maúllo maúlla maúllas maullamos maúllan 
 medir mido mide mides medimos miden 
 mejorar mejoro mejora mejoras mejoramos mejoran 
 memorizar memorizo memoriza memorizas memorizamos memorizan  
 mentir miento miente mientes mentimos mienten 
 meter meto mete metes metemos meten 
 mirar miro mira miras miramos miran 
 montar monto monta montas montamos montan 
 morir muero muere mueres morimos mueren  
 mostrar muestro muestra muestras mostramos muestran 
 mover muevo mueve mueves movemos mueven 
 nacer nazco nace naces nacemos nacen 
 nadar nado nada nadas nadamos nadan 
 narrar narro narra narras marranos narran  
 obedecer obedezco obedece obedeces obedecemos obedecen 
 obligar obligo obliga obligas obligamos obligan 
 obtener obtengo obtiene obtienes obtenemos obtienen 
 ocultar oculto oculta ocultas ocultamos ocultan 
 odiar odio odia odias odiamos odian 
 oír oigo oye oyes oímos oyen 
 oler huelo huele hueles olemos huelen 
 olvidar olvido olvida olvidas olvidamos olvidan 
 opinar opino opina opinas opinamos opinan 
 orar oro ora oras oramos oran 
 ordenar ordenó ordena ordenas ordenamos ordenan 
 organizar organizo organiza organizas organizamos organizan 
 pagar pago paga pagas pagamos pagan 
 parar paro para paras paramos paran 
 partir parto parte partes partimos parten 
 pasar paso pasa pasas pasamos pasan 
 pedir pido pide pides pedimos piden 
 pegar pego pega pegas pegamos pegan 
 peinar peino peina peinas peinamos peinan 
 pelar pelo pela pelas pelamos pelan 
 pelear peleo pelea peleas peleamos pelean 
 pensar pienso piensa piensas pensamos piensan 
 perder pierdo pierde pierdes perdemos pierden 
 pintar pinto pinta pintas pintamos pintan 
 poder puedo puede puedes podemos pueden 
 poner pongo pone pones ponemos ponen 
 preguntar pregunto pregunta preguntas preguntamos preguntan 
 quebrar quiebro quiebra quiebras quebramos quiebran 
 quedar quedo queda quedas quedamos quedan 
 quemar quemo quema quemas quemamos queman 
 querer quiero quiere quieres queremos quieren 
 rascar rasco rasca rascas rascamos rascan 
 rayar rayo raya rayas rayamos rayan 
 razonar razono razona razonas razonamos razonan 
 recoger recojo recoge recoges recogemos recogen 
 regar riego riega riegas regamos riegan 
 rehacer rehago rehace rehaces rehacemos rehacen 
 reír río ríe ríes reímos ríen 
 reparar reparo repara reparas reparamos reparan 
 repartir reparto reparte repartes repartimos reparten 
 reprobar repruebo reprueba repruebas reprobamos reprueban 
 resistir resisto resiste resistes resistimos resisten 
 resolver resuelvo resuelve resuelves resolvemos resuelven 
 respirar respiro respira respiras respiramos respiran 
 responder respondo responde respondes respondemos responden 
 romper rompo rompe rompes rompemos rompen 
 saber sé sabe sabes sabemos saben 
 sacar saco saca sacas sacamos sacan 
 salir salgo sale sales salimos salen 
 saltar salto salta saltas saltamos saltan 
 saludar saludo saluda saludas saludamos saludan 
 salvar salvo salva salvas salvamos salvan 
 sanar sano sana sanas sanamos sanan 
 secar seco seca secas secamos secan 
